timestamp,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_buy_base_vol,taker_buy_quote_vol,ignore
2022-08-14,46.59000000,48.06000000,44.46000000,44.87000000,3476179.16000000,2022-08-14 23:59:59.999,160581257.11230000,283531,1628593.98000000,75308992.43820000,0
2022-08-15,44.86000000,47.24000000,42.75000000,43.72000000,4145114.74000000,2022-08-15 23:59:59.999,184631369.54050000,309527,2061754.33000000,91908185.58650000,0
2022-08-16,43.72000000,44.31000000,42.53000000,43.08000000,3604735.73000000,2022-08-16 23:59:59.999,156167066.44420000,238186,1812847.47000000,78561415.03150000,0
2022-08-17,43.08000000,44.75000000,40.18000000,40.54000000,4207333.00000000,2022-08-17 23:59:59.999,177306555.09190000,318727,2041141.96000000,86047873.21200000,0
2022-08-18,40.54000000,41.67000000,39.31000000,39.52000000,2839363.98000000,2022-08-18 23:59:59.999,115649126.70580000,214606,1415150.60000000,57675826.75540000,0
2022-08-19,39.51000000,39.59000000,35.25000000,35.81000000,6209609.03000000,2022-08-19 23:59:59.999,229665906.53560000,433183,3075009.83000000,113741183.63710000,0
2022-08-20,35.82000000,37.27000000,34.21000000,35.28000000,3873077.48000000,2022-08-20 23:59:59.999,139348419.64540000,249750,1967510.71000000,70766770.22090000,0
2022-08-21,35.28000000,37.09000000,34.51000000,36.47000000,3184917.72000000,2022-08-21 23:59:59.999,114371070.74150000,198816,1616504.18000000,58063237.27350000,0
2022-08-22,36.48000000,36.56000000,33.73000000,35.41000000,3740448.14000000,2022-08-22 23:59:59.999,130553965.05610000,258622,1897703.05000000,66237194.85300000,0
2022-08-23,35.42000000,36.11000000,34.24000000,35.68000000,2736678.36000000,2022-08-23 23:59:59.999,96791702.12440000,193865,1366758.94000000,48343159.68560000,0
2022-08-24,35.69000000,36.40000000,34.31000000,34.89000000,2588768.41000000,2022-08-24 23:59:59.999,91505106.89650000,181718,1274553.09000000,45042069.56480000,0
